Forwarder;Origin CTRY;Dest CTRY;Dest From;Dest To;Zone
ALL;DE;DE;1000;1999;1
ALL;DE;DE;2000;2999;2
ALL;DE;DE;3000;3999;3
ALL;DE;DE;4000;4999;4
ALL;DE;DE;6000;6999;5
ALL;DE;DE;7000;7999;6
ALL;DE;DE;8000;8999;7
ALL;DE;DE;9000;9999;8
ALL;DE;DE;10000;10999;9
ALL;DE;DE;12000;12999;10
ALL;DE;DE;13000;13999;11
ALL;DE;DE;14000;14999;12
ALL;DE;DE;15000;15999;13
ALL;DE;DE;16000;16999;14
ALL;DE;DE;17000;17999;15
ALL;DE;DE;18000;18999;16
ALL;DE;DE;19000;19999;17
ALL;DE;DE;20000;20999;18
ALL;DE;DE;21000;21999;19
ALL;DE;DE;22000;22999;20
ALL;DE;DE;23000;23999;21
ALL;DE;DE;24000;24999;22
ALL;DE;DE;25000;25999;23
ALL;DE;DE;26000;26999;24
ALL;DE;DE;27000;27999;25
ALL;DE;DE;28000;28999;26
ALL;DE;DE;29000;29999;27
ALL;DE;DE;30000;30999;28
ALL;DE;DE;31000;31999;29
ALL;DE;DE;32000;32999;30
ALL;DE;DE;33000;33999;31
ALL;DE;DE;34000;34999;32
ALL;DE;DE;35000;35999;33
ALL;DE;DE;36000;36999;34
ALL;DE;DE;37000;37999;35
ALL;DE;DE;38000;38999;36
ALL;DE;DE;39000;39999;37
ALL;DE;DE;40000;40999;38
ALL;DE;DE;41000;41999;39
ALL;DE;DE;42000;42999;40
ALL;DE;DE;44000;44999;41
ALL;DE;DE;45000;45999;42
ALL;DE;DE;46000;46999;43
ALL;DE;DE;47000;47999;44
ALL;DE;DE;48000;48999;45
ALL;DE;DE;49000;49999;46
ALL;DE;DE;50000;50999;47
ALL;DE;DE;51000;51999;48
ALL;DE;DE;52000;52999;49
ALL;DE;DE;53000;53999;50
ALL;DE;DE;54000;54999;51
ALL;DE;DE;55000;55999;52
ALL;DE;DE;56000;56999;53
ALL;DE;DE;57000;57999;54
ALL;DE;DE;58000;58999;55
ALL;DE;DE;59000;59999;56
ALL;DE;DE;60000;60999;57
ALL;DE;DE;61000;61999;58
ALL;DE;DE;63000;63999;59
ALL;DE;DE;64000;64999;60
ALL;DE;DE;65000;65999;61
ALL;DE;DE;66000;66999;62
ALL;DE;DE;67000;67999;63
ALL;DE;DE;68000;68999;64
ALL;DE;DE;69000;69999;65
ALL;DE;DE;70000;70999;66
ALL;DE;DE;71000;71999;67
ALL;DE;DE;72000;72999;68
ALL;DE;DE;73000;73999;69
ALL;DE;DE;74000;74999;70
ALL;DE;DE;75000;75999;71
ALL;DE;DE;76000;76999;72
ALL;DE;DE;77000;77999;73
ALL;DE;DE;78000;78999;74
ALL;DE;DE;79000;79999;75
ALL;DE;DE;80000;80999;76
ALL;DE;DE;81000;81999;77
ALL;DE;DE;82000;82999;78
ALL;DE;DE;83000;83999;79
ALL;DE;DE;84000;84999;80
ALL;DE;DE;85000;85999;81
ALL;DE;DE;86000;86999;82
ALL;DE;DE;87000;87999;83
ALL;DE;DE;88000;88999;84
ALL;DE;DE;89000;89999;85
ALL;DE;DE;90000;90999;86
ALL;DE;DE;91000;91999;87
ALL;DE;DE;92000;92999;88
ALL;DE;DE;93000;93999;89
ALL;DE;DE;94000;94999;90
ALL;DE;DE;95000;95999;91
ALL;DE;DE;96000;96999;92
ALL;DE;DE;97000;97999;93
ALL;DE;DE;98000;98999;94
ALL;DE;DE;99000;99999;95
